id,test,category,question,option_a,option_b,option_c,option_d,answer,explanation
268,24,History,Which of these plays was written by William Shakespeare?,Paradise Lost,Hamlet,Pride and Prejudice,The Canterbury Tales,B,"Hamlet is one of Shakespeare's tragedies, alongside Macbeth, King Lear and Othello, and it contains some of the best known lines in the English language. Shakespeare wrote around thirty-seven plays as well as sonnets and longer poems, working in London during the reigns of Elizabeth I and James I, and he is generally regarded as the greatest writer in English. Paradise Lost is an epic poem by John Milton written in the seventeenth century, The Canterbury Tales is Chaucer's fourteenth-century work, and Pride and Prejudice is a novel by Jane Austen published in 1813. His comedies and histories, from Twelfth Night to Henry V, are performed as widely as the tragedies."
269,45,History,In which town was William Shakespeare born?,Bath,Canterbury,Stratford-upon-Avon,Oxford,C,"William Shakespeare was born in Stratford-upon-Avon in Warwickshire in 1564 and died there in 1616. He moved to London to work in the theatre, writing and acting with the company later known as the King's Men and holding a share in the Globe playhouse, before retiring to his home town. Stratford is now a major centre of literary tourism, with his birthplace, his burial place in Holy Trinity Church and the theatres of the Royal Shakespeare Company all drawing visitors from around the world. His plays have been translated into more languages and performed more widely than those of any other dramatist."
270,30,History,What is the Golden Hind?,The vessel that carried the Pilgrim Fathers to America,"Henry VIII's flagship, which sank in the Solent",The ship in which Francis Drake sailed around the world,A Viking longship found in Norway,C,"The Golden Hind was the ship in which Sir Francis Drake completed the first English circumnavigation of the globe between 1577 and 1580, returning with a vast quantity of treasure captured from Spanish possessions. Elizabeth I knighted him aboard the vessel at Deptford. The voyage demonstrated English seafaring capability and deepened the rivalry with Spain that culminated in the Armada of 1588. The Mary Rose was Henry VIII's warship, which sank in 1545 and was raised in 1982, and the Mayflower carried the Pilgrim Fathers to North America in 1620, during the reign of James I. A full-size reconstruction of the ship has been built and can be visited in London."
271,26,History,What happened to English possessions in France during Mary I's reign?,"Calais, the last English territory in France, was lost",Paris was occupied by English forces,Normandy was recaptured,Aquitaine was returned to England by treaty,A,"Calais had been held by England since the Hundred Years War and was the last remaining English possession on the French mainland, valued both as a military bridgehead and as the port through which wool exports passed. It fell to French forces in 1558, during the reign of Mary I, whose marriage to Philip II of Spain had drawn England into war with France. The loss was a severe blow to national prestige, and Mary is said to have remarked that Calais would be found written on her heart. England never again held territory on the French mainland, and attention turned increasingly to the sea and to overseas trade."
272,29,History,What were the Poor Laws introduced in the Tudor period intended to do?,Abolish taxation on the wealthy,Prevent the building of new towns,Require the poor to join the army,Make parishes responsible for relieving the poor,D,"During the sixteenth century the numbers of the poor and of wandering beggars rose sharply, partly because the monasteries that had provided charity were dissolved and partly because of population growth, enclosure and rising prices. A series of measures culminating in the Elizabethan Poor Law made each parish responsible for relieving those unable to support themselves, funded by a local rate, while punishing those judged to be idle. The system distinguished between the impotent poor and the able-bodied, and it remained the framework for relief in England for more than two centuries until reformed in the nineteenth century. Overseers of the poor were appointed in each parish to collect the rate and distribute relief."
273,41,History,Which Tudor monarch was known for establishing the Church of England's independence from Rome?,Edward VI,Henry VII,Mary I,Henry VIII,D,"Henry VIII broke England's ties with the papacy in the 1530s after the Pope refused to annul his marriage to Catherine of Aragon. Acts of Parliament declared him Supreme Head of the Church in England, ended appeals to Rome and transferred to the crown the revenues previously paid to the papacy. Doctrine changed relatively little during his own lifetime, and Henry regarded himself as a Catholic without a pope, but the break opened the way for genuinely Protestant reform under his son Edward VI. Mary I reversed the changes temporarily, and Elizabeth I restored an independent Protestant church in 1558."
274,35,History,What did the Act of Supremacy establish?,The monarch as head of the Church in England,The supremacy of Parliament over the monarch,The union of England and Scotland,The independence of the courts from the crown,A,"The Act of Supremacy, passed by Parliament in 1534, declared Henry VIII to be Supreme Head of the Church in England, severing the authority of the Pope over the English church. It was the legal foundation of the English Reformation and was enforced by requiring office-holders to swear an oath acknowledging the king's position, a demand that cost Sir Thomas More and others their lives. The Act was repealed under the Catholic Mary I and replaced by a further Act under Elizabeth I, which made the sovereign Supreme Governor rather than Supreme Head, a title the monarch still holds today."
275,29,History,Which Tudor rebellion in the north of England opposed the dissolution of the monasteries?,The Peasants' Revolt,The Jacobite Rising,The Pilgrimage of Grace,The Gunpowder Plot,C,"The Pilgrimage of Grace was a large rising in the north of England in 1536 against Henry VIII's religious changes, particularly the closure of the monasteries, which in northern counties were important sources of employment, charity and religious life. Tens of thousands took part under the leadership of Robert Aske, and the rebels were initially offered terms, but the promises were not kept and the leaders were executed. The rising showed the depth of attachment to traditional religion outside London and the south-east. The Peasants' Revolt had occurred in 1381, the Gunpowder Plot came in 1605, and the Jacobite risings belong to the eighteenth century."
276,7,History,"In which year did Elizabeth I die, ending the Tudor dynasty?",1649,1588,1603,1558,C,"Elizabeth I died in 1603 after a reign of forty-four years, and with her the Tudor line came to an end because she had never married and had no children. The throne passed to James VI of Scotland, the son of Mary, Queen of Scots, who became James I of England, joining the two crowns in a single person while the kingdoms remained legally separate for another century. Her reign is remembered for the religious settlement, the defeat of the Spanish Armada in 1588, the beginnings of overseas expansion, and a golden age of English drama and poetry. Her funeral drew vast crowds, and the period was later idealised as a golden age."
277,28,History,What was a significant effect of the printing press during the Reformation?,Latin replaced English in church services,Literacy declined sharply across Europe,Books became more expensive than manuscripts,Religious ideas and translations of the Bible spread rapidly,D,"Printing transformed the religious controversies of the sixteenth century. Pamphlets, translations and polemics could be produced in thousands of copies and distributed quickly and cheaply, allowing reformers' arguments to reach audiences far beyond the universities and courts. Translations of the Bible into vernacular languages, including English, meant that ordinary literate people could read scripture for themselves rather than relying on clergy, which was itself a revolutionary change. Authorities on both sides attempted to control what was printed, with limited success. William Caxton had introduced printing to England in 1476, several decades before Luther's protest began the Reformation in Germany. Printers themselves risked prosecution, and censorship through licensing became a recurring feature of the age."
278,18,History,What was the main religious division in Europe following the Reformation?,Between Christians and Romans,Between Presbyterians and Quakers,Between Anglicans and Methodists,Between Roman Catholics and Protestants,D,"The Reformation split western Christendom between those who remained loyal to the Roman Catholic Church and the various Protestant churches that rejected papal authority. The division dominated European politics for more than a century, producing wars, persecutions and shifting alliances, and it shaped British history directly: England, Wales and Scotland became Protestant while Ireland remained largely Catholic, a difference with lasting political consequences. Methodism and the Quakers emerged much later, as movements within or out of Protestantism, in the seventeenth and eighteenth centuries, and were part of the further fragmentation of Protestant religious life in Britain. In England the division ran through politics for generations, shaping law, succession and foreign policy alike."
279,10,History,Which Tudor monarch is associated with a 'golden age' of English drama and poetry?,Elizabeth I,Henry VII,Edward VI,Mary I,A,"The reign of Elizabeth I saw an extraordinary flowering of English literature, often called a golden age. William Shakespeare, Christopher Marlowe and Ben Jonson wrote for a booming commercial theatre in London, while Edmund Spenser produced the long allegorical poem The Faerie Queene in the queen's honour and Sir Philip Sidney wrote influential verse and prose. Purpose-built playhouses such as the Globe attracted large and socially mixed audiences. The period also produced notable music and a surge of interest in exploration and learning, and the era's confidence was reinforced by the defeat of the Spanish Armada in 1588. Music flourished too, with composers such as Thomas Tallis and William Byrd writing for church and court."
280,35,History,What is meant by the 'plantation' of Ireland?,The founding of monasteries across Ireland,The introduction of new crops from the Americas,The settlement of English and Scottish Protestants on confiscated Irish land,The planting of forests to supply the navy,C,"Plantation was the policy of confiscating land in Ireland and settling it with colonists from England and Scotland, pursued from the sixteenth century and most extensively in Ulster under James I in the early seventeenth century. The settlers were Protestant while the displaced population was Catholic, and the resulting pattern of landholding, religion and grievance shaped Irish history for centuries and lies behind the divisions that persisted in Northern Ireland into modern times. The city of Londonderry acquired its name and its walls during this period, being rebuilt with support from London livery companies as part of the Ulster plantation."
281,11,History,Which Tudor king strengthened the monarchy after the Wars of the Roses by restricting the private armies of nobles?,Henry VII,Henry VIII,Richard III,Edward VI,A,"Henry VII came to the throne in 1485 determined to prevent a return to the disorder of the Wars of the Roses. He limited the practice by which great lords maintained bodies of armed retainers, used the Court of Star Chamber to enforce royal justice against powerful offenders, and rebuilt royal finances through careful management and heavy fines. By the time of his death in 1509 the crown was solvent and the nobility considerably tamed, which gave his son Henry VIII the strength to undertake the break with Rome. His marriage to Elizabeth of York had also helped reconcile the rival factions."
282,17,History,What role did Thomas Cranmer play in the English Reformation?,He was Archbishop of Canterbury and shaped Protestant worship in English,He was the Pope's representative in England,He was a Spanish ambassador who opposed the divorce,He led an armed rebellion against Henry VIII,A,"Thomas Cranmer served as Archbishop of Canterbury under Henry VIII and Edward VI. He supported the annulment of Henry's marriage to Catherine of Aragon and the royal supremacy over the church, and under Edward VI he was the principal author of the Book of Common Prayer, whose English prose shaped worship and the language itself for centuries. When Mary I restored Catholicism he was tried for heresy, recanted under pressure and then withdrew his recantation, and he was burned at the stake in Oxford in 1556. His liturgy was reinstated under Elizabeth I and remains in use. His prose, measured and rhythmic, is among the most influential ever written in English."
283,20,History,Which of these best describes England's relationship with Spain during Elizabeth I's reign?,"Uninterested, with no contact between them","Peaceful, with a formal treaty of friendship","Hostile, culminating in the defeat of the Spanish Armada",Allied by a royal marriage throughout,C,"Relations between Protestant England and Catholic Spain deteriorated steadily during Elizabeth's reign. English seamen raided Spanish treasure fleets and colonies, England supported the Dutch revolt against Spanish rule, and Philip II backed Catholic plots against Elizabeth, whom the Pope had excommunicated. The execution of Mary, Queen of Scots in 1587 brought matters to a head, and the following year Philip launched the Armada, which was defeated in the Channel and wrecked by storms. War continued intermittently until after Elizabeth's death. Mary I had been married to Philip, but that alliance ended with her death in 1558. English privateers continued to raid Spanish shipping long after the Armada had been scattered."
284,38,History,What did Tudor sailors and merchants increasingly seek overseas?,Refuge from religious persecution in Africa,New trade routes and opportunities for exploration and settlement,Land to farm in continental Europe,Military alliances with the Ottoman empire only,B,"The sixteenth century saw English merchants and seafarers pushing into new waters in search of trade routes, markets and plunder, spurred by the example of Spain and Portugal. Expeditions sought a north-east and a north-west passage to Asia, trading companies were founded to open markets in Russia and the Levant, and Drake and others raided Spanish shipping in the Americas. Attempts at settlement in North America began under Elizabeth with the ill-fated Roanoke venture. These beginnings laid the foundations for the trading empire and colonial expansion that developed rapidly in the following century. The East India Company was founded in 1600, on the very last day of the sixteenth century."
285,3,History,Which Scottish king was defeated and killed at the Battle of Flodden in 1513?,Robert the Bruce,James IV,James VI,Macbeth,B,"James IV of Scotland invaded England in 1513 in support of Scotland's traditional alliance with France, while Henry VIII was campaigning on the continent. His army was defeated at Flodden in Northumberland and the king himself was killed, along with a large part of the Scottish nobility, making it one of the most catastrophic defeats in Scottish history. The throne passed to his infant son James V. The disaster is commemorated in the lament 'The Flowers of the Forest'. Robert the Bruce had reigned two centuries earlier, and James VI later inherited the English throne in 1603. Scotland's alliance with France against England was known as the Auld Alliance and lasted for centuries."
286,36,History,Which institution did Henry VIII use to give legal force to the break with Rome?,The Privy Council alone,Parliament,A general church council,The Court of Star Chamber,B,"Henry VIII carried through the break with Rome by statute, using Parliament to pass a series of Acts that ended papal jurisdiction, declared the royal supremacy and authorised the dissolution of the monasteries. This had constitutional as well as religious significance, because it demonstrated the reach of parliamentary legislation and bound the political nation to the changes by making them parties to them. The Reformation Parliament sat for several years and passed some of the most consequential legislation in English history. The Star Chamber was a prerogative court used for enforcing order, not for making law of this kind. Statute, rather than royal proclamation alone, made the changes difficult for any successor to undo."
287,32,History,Who was the mother of Elizabeth I?,Jane Seymour,Catherine of Aragon,Catherine Parr,Anne Boleyn,D,"Elizabeth I was the daughter of Henry VIII and his second wife Anne Boleyn, whose marriage to the king had prompted the break with Rome. Anne was executed on charges of treason and adultery when Elizabeth was still an infant, and Elizabeth's position at court was precarious for years afterwards. Catherine of Aragon was Henry's first wife and the mother of Mary I; Jane Seymour was his third wife and the mother of Edward VI; and Catherine Parr, his sixth wife, outlived him and took an interest in the education of his children, including the young Elizabeth. Elizabeth rarely spoke of her mother in public, though she kept her memory close throughout her reign."
288,35,History,What was the Court of Star Chamber?,A council advising on foreign trade,The highest court of appeal in Scotland,A church court trying cases of heresy,A royal court used to enforce the king's justice against powerful subjects,D,"The Court of Star Chamber, named after the decorated ceiling of the room in which it met at Westminster, was a prerogative court composed of royal councillors. The Tudors used it to deal with cases where powerful defendants might overawe ordinary juries, and it helped Henry VII and his successors impose order on an unruly nobility. Because it sat without a jury and could act swiftly, it later became a byword for arbitrary justice when the Stuarts employed it against political and religious opponents, and it was abolished by the Long Parliament in 1641 during the crisis that led to civil war."
289,35,History,Which English translation of the Bible was produced in the reign of James I?,The Book of Common Prayer,The King James Bible,The Lindisfarne Gospels,The Domesday Book,B,"The King James Bible, also called the Authorised Version, was published in 1611 after being commissioned by James I and prepared by teams of scholars working from the original languages and earlier English translations. It became the standard English Bible for centuries and its language, alongside that of the Book of Common Prayer, has had a profound influence on English literature and everyday speech, supplying countless familiar phrases. Earlier English translations by Tyndale and others had circulated despite official hostility, and Tyndale himself was executed, though much of his wording survives in the later version. Its influence on written English is rivalled only by the plays of Shakespeare and the prayer book."
290,6,History,What was the 'Elizabethan Poor Law' notable for?,Creating a national framework for parish relief of the poor,Abolishing all charity for the destitute,Making poverty a capital offence,Transferring poor relief to the monasteries,A,"The Elizabethan Poor Law, consolidating earlier measures at the very end of the sixteenth century and in 1601, made each parish legally responsible for relieving its own poor, funded by a compulsory local rate and administered by overseers. It distinguished between those unable to work through age or infirmity, who were to be supported, and the able-bodied, who were to be set to work, with punishment for persistent vagrants. The system was a notable early example of state-organised welfare and lasted, with modifications, until the nineteenth century, when the workhouse system replaced it. The monasteries that had previously provided relief had been dissolved decades earlier."
291,44,History,Which of these was a major consequence of the dissolution of the monasteries?,The construction of Hadrian's Wall,The introduction of the printing press,A great transfer of land and wealth to the crown and then to the gentry,The founding of the first English universities,C,"The closure of the monasteries transferred an enormous quantity of land and treasure to the crown, and much of it was subsequently sold to nobles and gentry who were eager to buy. This created a substantial class of landowners with a direct financial interest in resisting any restoration of Catholicism, which helped make the English Reformation permanent. It also removed institutions that had provided education, hospitality and charitable relief, contributing to the problem of poverty that Tudor legislation then tried to address. The ruins of the great abbeys remain among the most evocative monuments in the British countryside. Some monastic buildings survived by becoming parish churches, cathedrals or private country houses."
292,27,History,Who succeeded Elizabeth I in 1603?,"Mary, Queen of Scots",Henry VIII's nephew,Charles I,James VI of Scotland,D,"James VI of Scotland, son of Mary, Queen of Scots, inherited the English throne on Elizabeth's death in 1603 and reigned as James I of England, a moment known as the Union of the Crowns. The two kingdoms retained separate parliaments, laws and churches, and they were not politically united until the Act of Union of 1707, but from this point a single monarch ruled both. His accession began the Stuart dynasty in England. His reign saw the Gunpowder Plot of 1605, the publication of the King James Bible in 1611 and the founding of the first permanent English colony in North America."
293,27,History,What is the Union of the Crowns?,The marriage of Henry VII and Elizabeth of York,The union of the English and Scottish parliaments in 1707,The joining of the English and Scottish crowns under one monarch in 1603,The annexation of Wales by England,C,"The Union of the Crowns took place in 1603, when James VI of Scotland succeeded Elizabeth I and became also James I of England, so that one monarch reigned over both kingdoms. The countries nonetheless remained separate states with their own parliaments, legal systems and established churches, and relations between them were often difficult during the seventeenth century. Political union came only with the Act of Union of 1707, which created the Kingdom of Great Britain and a single parliament at Westminster. Scotland retained its own legal system, church and education arrangements under that settlement, as it does today. James styled himself King of Great Britain, although no such single state existed in law at the time."
294,15,History,Which Tudor queen reigned for only nine days?,Anne Boleyn,Mary I,Elizabeth I,Lady Jane Grey,D,"Lady Jane Grey, a great-granddaughter of Henry VII, was proclaimed queen in 1553 after the death of the young Edward VI, in an attempt by leading Protestant councillors to prevent the Catholic Mary from succeeding. Support collapsed within days as Mary gathered forces and public backing, and Jane was deposed after about nine days, imprisoned in the Tower of London and executed the following year at the age of seventeen. The episode illustrates how closely religion and dynastic politics were entwined in the Tudor period, and how dangerous a claim to the throne could be for those who held one."
295,19,History,"During the Tudor period, what happened to the population of England?","It grew substantially, contributing to rising prices and poverty",It remained exactly the same throughout,It doubled within a single decade,It fell sharply because of repeated plagues,A,"England's population rose considerably over the sixteenth century, recovering from the losses of the later Middle Ages. Growth put pressure on food supplies and land, contributing to a long inflation in prices that outpaced wages and to an increase in poverty and vagrancy. These pressures, combined with the enclosure of common land for sheep farming and the disappearance of monastic charity, lay behind the Tudor Poor Laws and recurring anxiety about disorder. Towns grew, and London in particular expanded rapidly, becoming by far the largest city in the kingdom and a magnet for migrants from the countryside. London's growth was especially rapid, and by 1600 it had become one of Europe's great cities."
296,32,History,Which of these was NOT one of Henry VIII's wives?,Jane Seymour,"Mary, Queen of Scots",Catherine Parr,Anne Boleyn,B,"Mary, Queen of Scots, was never married to Henry VIII. She was the queen of Scotland who was eventually executed on the orders of Elizabeth I in 1587, and her son became James I of England. Henry's six wives were Catherine of Aragon, Anne Boleyn, Jane Seymour, Anne of Cleves, Catherine Howard and Catherine Parr. Two were divorced, two were executed, one died shortly after childbirth and the last outlived the king. His pursuit of a male heir through these marriages drove the break with Rome and reshaped the religious and political history of the country. Only Jane Seymour bore him a son who survived infancy, the short-lived Edward VI."
297,13,History,What was the significance of the defeat of the Spanish Armada for England?,It forced England to return to Catholicism,It led to the conquest of Spain by England,It boosted national confidence and strengthened England's position at sea,It immediately ended all conflict with Spain,C,"The defeat of the Armada in 1588 was a decisive moment for English morale and for the reputation of Elizabeth I, delivering the country from the threat of invasion by the most powerful monarchy in Europe. It encouraged the growth of English naval strength and confidence in overseas ventures, and it became a central story in the national memory, reinforced by the queen's speech to the troops at Tilbury. It did not, however, end the war, which dragged on for years with mixed fortunes, and Spain remained a formidable power. Nor did it lead to any English conquest of Spanish territory in Europe."
298,9,History,Which Tudor development helped make English the language of worship in England?,The banning of printing in English,A decree that Latin be taught in all parishes,The introduction of services and Bibles in English,The adoption of French for church services,C,"One of the most visible effects of the Reformation in England was the replacement of Latin with English in worship. The Bible was translated and authorised for use in churches, and under Edward VI the Book of Common Prayer set out services in English, a change confirmed after Elizabeth I's accession. Ordinary people could now follow and understand the liturgy and read scripture themselves where they were literate. The effect on the language was profound, since the cadences of Cranmer's prayer book and of the later King James Bible shaped English prose and supplied phrases still in everyday use. Church attendance was required by law, so this language reached almost the whole population each week."
299,25,History,What was the Gunpowder Plot of 1605?,A scheme to assassinate Oliver Cromwell,A Catholic conspiracy to blow up Parliament and kill James I,A plot to prevent the union of England and Scotland,A Protestant plan to burn down the Tower of London,B,"The Gunpowder Plot was a conspiracy by a group of Catholics, frustrated by the continuing penalties imposed on their religion, to destroy the House of Lords with gunpowder during the state opening of Parliament in November 1605, killing James I and the political leadership at a stroke. The plot was betrayed and Guy Fawkes was discovered guarding the explosives in a cellar beneath the building. The conspirators were captured, tried and executed. The failure of the plot has been commemorated ever since on 5 November with bonfires and fireworks, an annual tradition that remains one of the most widely observed in Britain, and which usually involves burning an effigy known as a guy."
300,38,History,Which conspirator was caught guarding the gunpowder beneath Parliament in 1605?,Guy Fawkes,Robert Catesby,Oliver Cromwell,Titus Oates,A,"Guy Fawkes, a soldier with experience of warfare in the Low Countries, was discovered in the cellars beneath the House of Lords with a large quantity of gunpowder on the night of 4 November 1605. He was arrested, interrogated and executed along with his fellow conspirators. Robert Catesby was in fact the leader and organiser of the plot, but it is Fawkes whose name has stuck in popular memory, and effigies burned on bonfire night are still called guys after him. The anniversary is marked every 5 November with fireworks across the United Kingdom, and the cellars of Parliament are still ceremonially searched before each state opening."
301,7,History,On what date is Bonfire Night celebrated?,1 January,5 November,31 October,25 December,B,"Bonfire Night, also called Guy Fawkes Night, falls on 5 November and marks the failure of the Gunpowder Plot of 1605, when a group of Catholic conspirators attempted to blow up Parliament and kill James I. Communities hold firework displays and light bonfires, often burning an effigy known as a guy, and traditional foods such as toffee apples and parkin are eaten. Organised public displays are now more common than private ones for safety reasons. It is one of the most widely observed annual customs in Britain, although it is not a public holiday, and the rhyme beginning 'Remember, remember the fifth of November' is still widely known."
302,7,History,What was the English Civil War fought over?,The succession of the Tudor dynasty,The balance of power between the king and Parliament,A dispute with Spain over trade routes,Control of English colonies in America,B,"The Civil War broke out in 1642 after years of escalating conflict between Charles I and Parliament over taxation without consent, the king's claim to rule by divine right, and religious policy, which many suspected of leaning towards Catholicism. Charles had ruled for eleven years without calling Parliament at all, and when he needed money for war against the Scots the quarrel became unmanageable. Supporters of Parliament were known as Roundheads and those of the king as Cavaliers. The war ended in parliamentary victory, and in 1649 Charles I was tried and executed, an event without precedent in English history and one that shocked much of Europe."
303,3,History,In which year was Charles I executed?,1660,1688,1642,1649,D,"Charles I was tried by a specially constituted court and beheaded outside the Banqueting House in Whitehall in January 1649, following his defeat in the Civil War and his refusal to accept limits on royal power. The execution of an anointed king by his own subjects was unprecedented and profoundly shocking to contemporaries across Europe. England was then governed without a monarch as a commonwealth and later under Oliver Cromwell as Lord Protector. The monarchy was restored in 1660 under Charles II, the executed king's son. The Civil War itself had begun in 1642, and the Glorious Revolution took place in 1688."
304,14,History,Who governed England as Lord Protector after the Civil War?,William of Orange,Oliver Cromwell,Thomas Fairfax,Charles II,B,"Oliver Cromwell, who had risen to prominence as a commander of the parliamentary cavalry and then of the New Model Army, became Lord Protector in 1653 and governed England, Scotland and Ireland until his death in 1658. The period is known as the Commonwealth or Protectorate, the only time the country has been without a monarch. His rule was backed by military power and marked by strict Puritan measures, and his campaign in Ireland is remembered there with particular bitterness. His son Richard proved unable to hold the regime together, and the monarchy was restored under Charles II in 1660. Cromwell was offered the crown but refused it, though the powers he exercised were much like a king's."
305,5,History,What is meant by the Restoration of 1660?,The rebuilding of London after the Great Fire,The re-establishment of the Roman empire in Britain,The restoration of Catholic worship in England,The return of the monarchy under Charles II,D,"The Restoration refers to the return of the monarchy in 1660, when Charles II was invited back from exile after the collapse of the Protectorate that had followed Oliver Cromwell's death. Parliament played a decisive role in recalling him, which underlined how far the constitutional balance had shifted during the preceding decades. The period saw the reopening of the theatres closed under Puritan rule, a flourishing of science with the founding of the Royal Society, and a notably relaxed court culture. It also brought continuing religious tension, and Charles's brother James, an open Catholic, would later provoke the crisis of 1688."
306,32,History,What happened during the Great Plague of 1665?,A fire destroyed much of the City of London,A severe outbreak of plague killed a large number of Londoners,An epidemic among cattle ruined English farming,A famine caused by failed harvests spread across Scotland,B,"The Great Plague struck London in 1665 and killed a very large number of people, with the wealthy fleeing the city while the poor remained. Houses where infection was found were shut up and marked with a red cross, and burial pits were dug outside the walls. Trade and normal life were severely disrupted, and the royal court moved to Oxford. The epidemic subsided the following year, the same year in which the Great Fire destroyed much of the old city. It was the last major outbreak of plague in England, ending a pattern of recurrent epidemics that had begun with the Black Death in 1348."
307,19,History,In which year did the Great Fire of London occur?,1649,1665,1688,1666,D,"The Great Fire broke out in September 1666 in a bakery in Pudding Lane and spread rapidly through the closely packed timber buildings of the City of London, burning for several days and destroying a vast area, including St Paul's Cathedral and tens of thousands of homes. Remarkably few deaths were recorded, though the destruction of property was immense. The diarist Samuel Pepys left a vivid eyewitness account. Rebuilding was carried out in brick and stone under new regulations, and Sir Christopher Wren designed a new St Paul's along with many parish churches. The Monument still marks the spot where the fire began."
308,40,History,Who designed the new St Paul's Cathedral after the Great Fire of London?,Robert Adam,Sir Joseph Paxton,Sir Christopher Wren,Inigo Jones,C,"Sir Christopher Wren, an astronomer and mathematician as well as an architect, designed the new St Paul's Cathedral that rose after the Great Fire of 1666, together with more than fifty City parish churches. Completed in the early eighteenth century, the cathedral's great dome became one of the defining images of London and survived the bombing of the Second World War, when photographs of it standing amid smoke became a symbol of endurance. Inigo Jones was an earlier architect who introduced classical design to England, Robert Adam was a leading Georgian designer, and Joseph Paxton designed the Crystal Palace in 1851."
309,31,History,Who kept a famous diary describing the Great Plague and the Great Fire of London?,Samuel Pepys,Daniel Defoe,John Milton,John Bunyan,A,"Samuel Pepys, a naval administrator, kept a detailed private diary through the 1660s that records both the Great Plague of 1665 and the Great Fire of 1666, along with the daily business, gossip and pleasures of Restoration London. Written partly in shorthand and not published until the nineteenth century, it is among the most valuable and readable sources for the period. John Milton, his contemporary, wrote the epic poem Paradise Lost; Daniel Defoe later wrote a fictionalised Journal of the Plague Year as well as Robinson Crusoe; and John Bunyan wrote The Pilgrim's Progress. Pepys buried his wine and a parmesan cheese in the garden to save them from the flames."
310,39,History,What was the Glorious Revolution of 1688?,The replacement of James II by William of Orange and Mary without major fighting in England,The restoration of Charles II to the throne,The union of the English and Scottish parliaments,The execution of Charles I by Parliament,A,"In 1688 leading politicians invited William of Orange, the Protestant ruler of the Netherlands and husband of James II's daughter Mary, to intervene in England. James, a Catholic whose policies and new-born Catholic son had alarmed the political class, fled to France, and William and Mary were offered the crown as joint sovereigns. Because power changed hands in England with very little bloodshed, the episode became known as the Glorious Revolution. It was followed by the Bill of Rights, which limited royal power and confirmed the central place of Parliament in the constitution, and fighting did continue in Scotland and Ireland."
311,25,History,What did the Bill of Rights of 1689 establish?,Freedom of worship for Roman Catholics,The abolition of the monarchy,Limits on the monarch's power and the necessity of regular parliaments,The right of every adult to vote,C,"The Bill of Rights, passed after the Glorious Revolution, confirmed that the monarch could not suspend or dispense with laws, raise taxes or maintain a standing army in peacetime without the consent of Parliament, and it required that parliaments be held frequently and elections be free. It also provided for freedom of speech in parliamentary debate. The settlement established the principle that the crown governs with and through Parliament, which is the foundation of the constitutional monarchy that exists today. It did not introduce democracy in the modern sense, since the franchise remained extremely narrow for another two centuries, nor did it grant toleration to Catholics."
312,14,History,Which monarchs reigned jointly after the Glorious Revolution?,George I and Sophia,Charles II and Catherine,William III and Mary II,James II and Anne,C,"William of Orange and his wife Mary, the daughter of James II, accepted the crown in 1689 and reigned jointly as William III and Mary II, an arrangement unique in British history. Their accession was conditional on accepting the Bill of Rights, which set clear limits on royal authority. Mary died of smallpox in 1694 and William reigned alone until 1702, when he was succeeded by Mary's sister Anne. It was during Anne's reign that the Act of Union of 1707 joined the English and Scottish parliaments to create the Kingdom of Great Britain. Anne died in 1714 without surviving children."
313,6,History,In which year did the Act of Union join the parliaments of England and Scotland?,1603,1922,1801,1707,D,"The Act of Union of 1707 abolished the separate parliaments of England and Scotland and created a single Parliament of Great Britain at Westminster, forming the Kingdom of Great Britain. The crowns had already been joined in 1603 when James VI of Scotland inherited the English throne, but the two kingdoms had remained legally distinct. Scotland retained its own legal system, its established church and its universities and education system under the terms of the union, and those distinctions continue today. A further Act of Union in 1801 joined Ireland to Great Britain, creating the United Kingdom. Scotland's commissioners were influenced by the failure of a disastrous colonial venture at Darien."
314,27,History,What did Scotland retain under the Act of Union of 1707?,"Its own legal system, church and education arrangements",Its own separate currency,Its own foreign policy and army,Its own parliament at Edinburgh,A,"When the parliaments were united in 1707 the Scottish Parliament was abolished, but Scotland kept several distinctive institutions that had developed separately over centuries. Scots law, which draws on Roman as well as common law traditions, continued as a separate system with its own courts; the presbyterian Church of Scotland remained the national church; and the Scottish universities and schools kept their own arrangements. These survivals help explain why devolution in 1999 could re-establish a Scottish Parliament with substantial legal competence. Defence, foreign policy and currency became matters for the united kingdom and its single Parliament at Westminster. Scottish banks also kept the right to issue their own banknotes, which they still exercise today."
315,11,History,Who were the Jacobites?,Parliamentarians who opposed Charles I,Followers of a Protestant reform movement in Wales,Members of a London merchant guild,Supporters of the exiled Stuart claim to the throne,D,"The Jacobites were supporters of the exiled Catholic Stuart line after James II was displaced in 1688, taking their name from Jacobus, the Latin form of James. They mounted several attempts to restore the Stuarts, with support concentrated in the Scottish Highlands and among some Catholics and Episcopalians. The most serious risings came in 1715 and in 1745, when Charles Edward Stuart, known as Bonnie Prince Charlie, led an army as far south as Derby before retreating. The rebellion was crushed at the Battle of Culloden in 1746, after which Highland society was systematically dismantled by government measures. Jacobite sympathies were kept alive in song and in toasts drunk to 'the king over the water'."
